id,phase,institution,folder,filename,url,year,doc_type,category,verification,priority,impact_areas,summary,oc_use
17,1,UBC Vancouver,01_UBC-Vancouver/02_Climate-and-GHG-Reporting,2025_UBCV_UBC-GHG-Inventory-2025.pdf,https://sustain.ubc.ca/sites/default/files/files/UBCV_GHG_Inventory_2025.pdf,2025,Dataset,Climate-and-GHG-Reporting,Fetched,,Carbon Zero,"39,778 tCO2e requiring offset (Scope 1 ~27,972; Scope 2 ~6,010; Scope 3 paper 176) plus 7,381 tCO2e off-campus/Properties Trust.",Emissions-boundary segmentation model for OC's four-campus scope definition.
18,1,UBC Vancouver,01_UBC-Vancouver/02_Climate-and-GHG-Reporting,2025_UBCV_Climate-Change-Accountability-Report-CCAR-2025.pdf,https://sustain.ubc.ca/sites/default/files/files/2025%20CCAR.pdf,2025,Statutory report,Climate-and-GHG-Reporting,Fetched (index),,Carbon Zero; Policy/Planning,"BC public-sector climate accountability filing, successor to CNAR.",The exact regulatory template OC is also bound by.
19,1,UBC Vancouver,01_UBC-Vancouver/02_Climate-and-GHG-Reporting,2024_UBCV_2024-PSO-CCAR-gov.bc.ca-mirror.pdf,https://www2.gov.bc.ca/assets/gov/environment/climate-change/cnar/2024/ps/ubc_2024_ccar.pdf,2024,Statutory report,Climate-and-GHG-Reporting,Fetched (index),,Policy/Planning,Same CCAR on the BC public-sector portal.,Confirms the filing format and location OC must use.
20,1,UBC Vancouver,01_UBC-Vancouver/02_Climate-and-GHG-Reporting,2023_UBCV_TCFD-Climate-Related-Financial-Disclosure-Report-FY2023.pdf,https://sustain.ubc.ca/sites/default/files/files/MASTER_TDFC_UBC_2023_FINAL.pdf,2023,Report,Climate-and-GHG-Reporting,Fetched,PRIORITY,Investment; Carbon Zero,TCFD-aligned governance/strategy/risk/metrics disclosure. Cites 85%/65%/45% 2030 targets and ~$18M/yr potential carbon-tax avoidance.,Full TCFD 4-pillar structure as the template for OC's Financial & Risk Realities component. Also the closest model for OC's carbon-liability calculation.
21,1,UBC Vancouver,01_UBC-Vancouver/09_Indigenous-and-Engagement,2023_UBCV_TogetherEnsemble-at-UBC-Indigenous-lens-report.pdf,https://sustain.ubc.ca/sites/default/files/TE-Report-Web.pdf,2023,Report,Indigenous-and-Engagement,Seen in search,,Indigenous relationality,Sustainability report with an Indigenous-relationality and reconciliation lens.,Model for weaving Indigenous relationality through a report rather than siloing it. Serves OC's Layer 0.
22,1,UBC Vancouver,01_UBC-Vancouver/08_Governance-and-Policy,2022_UBCV_Sustainability-Hub-Strategic-Plan-2022-2027.pdf,https://sustain.ubc.ca/sites/default/files/Sustainability-Hub-Strategic-Plan-Web.pdf,2022,Plan,Governance-and-Policy,Fetched (index),,Organizational Structure,"Strategic plan for the central sustainability office itself: mandate, structure, resourcing.",Governance and mandate template for OC's own sustainability office.
23,1,UBC Vancouver,01_UBC-Vancouver/07_Curriculum-and-Research,nd_UBCV_Transforming-Sustainability-Education-at-UBC.pdf,https://sustain.ubc.ca/sites/sustain.ubc.ca/files/uploads/images/teaching_learning/transforming-sustainability-education-at-ubc-desired-student-attributes-and-pathways-for-implementat.pdf,n.d.,Framework,Curriculum-and-Research,Fetched,PRIORITY,Curriculum,Defines 4 graduate sustainability attributes and 3 curriculum pathway models.,Ready-made learning-outcomes taxonomy and pathway typology for OC's course-mapping exercise.
24,1,UBC Vancouver,01_UBC-Vancouver/01_Plans-and-Strategies,2021_UBCV_Wellbeing-Strategic-Framework-Roadmap-Dashboard.pdf,https://wellbeing.ubc.ca/sites/wellbeing.ubc.ca/files/u1582/WSF%20Roadmap%20Dashboard_18Oct2021.pdf,2021,Plan/Dashboard,Plans-and-Strategies,Seen in search,,Engagement,Roadmap/dashboard hybrid tracking the Okanagan-Charter-aligned Wellbeing Framework.,Roadmap-dashboard hybrid format combining milestones with a visual tracker.
25,1,UBC Vancouver,01_UBC-Vancouver/11_Climate-Risk-and-Resilience,nd_UBCV_Campus-Urban-Biodiversity-Strategic-CUBS-Plan.pdf,https://sustain.ubc.ca/sites/default/files/SEEDS%20Uploads/Campus%20Urban%20Biodiversity%20Strategic%20(CUBS)%20Plan.pdf,n.d.,Plan,Climate-Risk-and-Resilience,Seen in search,,Infrastructure; UNSDGs,Biodiversity strategy for a built urban campus landscape.,Urban-biodiversity target-setting in a non-wilderness campus context.
26,1,UBC Vancouver,01_UBC-Vancouver/11_Climate-Risk-and-Resilience,nd_UBCV_UBC-Biodiversity-Annual-Report.pdf,https://sustain.ubc.ca/sites/sustain.ubc.ca/files/SEEDS%20Uploads/UBC_BiodiversityAnnualReport_FINAL.pdf,n.d.,Report,Climate-Risk-and-Resilience,Seen in search,,Infrastructure; Performance Measurement,Annual monitoring of campus biodiversity indicators.,Biodiversity KPI set mapping to STARS biodiversity credits.
27,1,UBC Vancouver,01_UBC-Vancouver/06_Waste-and-Procurement,2024_UBCV_AMS-Waste-Audit-Report.pdf,https://www.ams.ubc.ca/wp-content/uploads/2024/04/Waste-Audit-Final-Report-2024-1.pdf,2024,Audit,Waste-and-Procurement,Seen in search,,Supply Chain; Engagement,Student-society-led waste composition audit.,"Waste-audit method (sort categories, sampling) reusable at OC's smaller campuses. Complements OC's Mar 2026 student trash audit."
28,1,UBC Vancouver,01_UBC-Vancouver/06_Waste-and-Procurement,nd_UBCV_UBC-Food-System-Asset-Map.pdf,https://sustain.ubc.ca/sites/default/files/seedslibrary/LFS%20450_Project_07_Food%20Asset%20Map_2ndSubmission_FinalReport.pdf,n.d.,Study,Waste-and-Procurement,Seen in search,,UNSDGs; Engagement,Student mapping of campus food assets and food-security resources.,Food-asset-mapping method for a food-security baseline.
29,1,UBC Okanagan,02_UBC-Okanagan/01_Plans-and-Strategies,2021_UBCO_UBCO-Climate-Action-Plan-2030-Final.pdf,https://sustain.ok.ubc.ca/wp-content/uploads/sites/207/2025/05/2021-UBCO-CAP-2030-Final-web-1.pdf,2021,Plan,Plans-and-Strategies,Fetched,PRIORITY,Carbon Zero; Infrastructure; Policy/Planning,"Campus-specific CAP with GHG targets, building/fleet electrification pathway and commuting mode-shift goals, distinct from UBC Vancouver's.",Template for a campus-specific plan nested under an institution-wide one. Directly analogous to OC's four-campus problem.
30,1,UBC Okanagan,02_UBC-Okanagan/01_Plans-and-Strategies,2021_UBCO_UBCO-CAP-2030-Public-Engagement-Summary-Report.pdf,https://sustain.ok.ubc.ca/wp-content/uploads/sites/207/2025/05/UBCO-CAP-2030-Summary-Report.pdf,2021,Report,Plans-and-Strategies,Fetched,,Communications; Training,Documents the consultation process and themes used to build the CAP.,Engagement methodology for OC's own consultation phase.
31,1,UBC Okanagan,02_UBC-Okanagan/11_Climate-Risk-and-Resilience,2023_UBCO_UBCO-Climate-Adaptation-Resilience-Biodiversity-CARB-Strategy.pdf,https://sustain.ok.ubc.ca/wp-content/uploads/sites/207/2025/05/UBCO-CARB-Strategy-compressed.pdf,~2023-24,Strategy,Climate-Risk-and-Resilience,Fetched,PRIORITY,Climate Resilience; Infrastructure,"Dedicated adaptation strategy layered over the mitigation-focused CAP, covering biodiversity and physical climate risk in the Okanagan.","The single best regional model for OC's Climate Resilience cross-cutting lens. Same climate zone, same hazards."
32,1,UBC Okanagan,02_UBC-Okanagan/06_Waste-and-Procurement,2024_UBCO_Okanagan-Food-GHG-Baseline-Project.pdf,https://sustain.ok.ubc.ca/wp-content/uploads/sites/207/2025/01/Okanagan-Food-GHG-Baseline-Project.pdf,~2024,Study,Waste-and-Procurement,Fetched,,Supply Chain; Carbon Zero,Baseline inventory of food-service emissions specific to Okanagan Valley supply chains.,Regional food-emissions factors instead of generic national averages.
33,1,UBC Okanagan,02_UBC-Okanagan/07_Curriculum-and-Research,2024_UBCO_Intercampus-Air-Travel-SEEDS-Study.pdf,https://sustain.ok.ubc.ca/wp-content/uploads/sites/207/2025/01/Reducing-Greenhouse-Gas-Emissions.pdf,~2024,Study,Curriculum-and-Research,Fetched,,Carbon Zero; Transportation,Student study of UBC Vancouver-Okanagan intercampus flight emissions and reduction options.,"Directly transferable to OC's inter-campus travel between Kelowna, Penticton, Vernon and Salmon Arm. Relevant to the open OP15 air-travel question."
34,1,UBC Okanagan,02_UBC-Okanagan/01_Plans-and-Strategies,2024_UBCO_Post-Pandemic-Climate-Engagement-Report.pdf,https://sustain.ok.ubc.ca/wp-content/uploads/sites/207/2025/01/Community-Engagement-Strategies-for-Climate-Change.pdf,~2024,Report,Plans-and-Strategies,Fetched,,Communications; Training,Analysis of engagement strategies for sustaining climate momentum post-COVID.,Engagement tactics for OC's Engagement focus area.
35,1,UBC Okanagan,02_UBC-Okanagan/01_Plans-and-Strategies,2023_UBCO_UBCO-CAP-2030-Implementation-Progress-Report.pdf,https://sustain.ok.ubc.ca/wp-content/uploads/sites/207/2025/01/UBCO-CAP-2030-Implementation-Progress-Report.pdf,~2023-24,Report,Plans-and-Strategies,Seen in search,,Performance Measurement; Carbon Zero,Tracks year-over-year progress against CAP2030 milestones.,KPI reporting cadence for a 6-year roadmap.
36,1,UBC Okanagan,02_UBC-Okanagan/01_Plans-and-Strategies,2022_UBCO_UBCO-CAP-Implementation-Progress-Report-Oct-2022.pdf,https://sustain.ok.ubc.ca/wp-content/uploads/sites/70/2022/12/UBCO-CAP-Implementation-Progress-Report-2022-Oct-Final.pdf,2022,Report,Plans-and-Strategies,Seen in search,,Performance Measurement,Earlier progress snapshot showing reporting frequency.,Historical comparator on measurement cadence.
37,1,UBC Okanagan,02_UBC-Okanagan/02_Climate-and-GHG-Reporting,2023_UBCO_Joint-UBC-Climate-Change-Accountability-Report.pdf,https://sustain.ok.ubc.ca/wp-content/uploads/sites/207/2025/01/Joint-UBC-Climate-Change-Accountability-Report.pdf,2023 (pub 2024),Statutory report,Climate-and-GHG-Reporting,Fetched,,Carbon Zero; Policy/Planning,UBC's mandatory BC provincial climate accountability filing covering both campuses.,Shows how a multi-campus institution files one joint CCAR. Relevant to OC's four-campus reporting decision.
38,1,UBC Okanagan,02_UBC-Okanagan/02_Climate-and-GHG-Reporting,2023_UBCO_UBC-FY2023-TCFD-Report.pdf,https://sustain.ok.ubc.ca/wp-content/uploads/sites/207/2025/01/2023-Task-Force-on-Climate-Related-Financial-Disclosures-Report-v2.pdf,2023,Report,Climate-and-GHG-Reporting,Fetched,,Investment; all areas (risk component),Physical and transition risk quantification following TCFD.,Closest Canadian public-sector model for OC's Financial & Risk Realities component.
39,1,UBC Okanagan,02_UBC-Okanagan/02_Climate-and-GHG-Reporting,2022_UBCO_UBC-FY2022-TCFD-Report.pdf,https://sustain.ubc.ca/sites/default/files/files/1122_MASTER_TCFD%20FINAL-%2011%2022%202022.pdf,2022,Report,Climate-and-GHG-Reporting,Seen in search,,Investment,Prior-year version showing how risk metrics evolved.,Baseline comparator on disclosure maturity.
40,1,UBC Okanagan,02_UBC-Okanagan/10_Campus-Master-Plans,2025_UBCO_UBC-Okanagan-Campus-Plan-2025-Update-Final.pdf,https://campusplanning.ok.ubc.ca/wp-content/uploads/sites/202/2025/07/20250520-UBCO-Campus-Plan-Update-Final.pdf,2025,Master plan,Campus-Master-Plans,Fetched,,Infrastructure; Policy/Planning,Current campus land-use and growth master plan.,How to tie campus growth planning to sustainability commitments. Comparator for OC's Capital Master Plan.
41,1,UBC Okanagan,02_UBC-Okanagan/04_Transportation,2021_UBCO_UBC-Okanagan-Transportation-Plan.pdf,https://campusplanning.ok.ubc.ca/wp-content/uploads/sites/202/2024/06/UBCO-TPlan-Final-2022-01-11.pdf,2021 (to 2040),Plan,Transportation,Fetched,PRIORITY,Transportation,"Trip reduction, mode shift and reduced parking growth goals, with TDM programs (ProPass, carpool matching, e-bike share).",The closest regional TDM plan template. Same BC Transit system as OC Kelowna.
42,1,UBC Okanagan,02_UBC-Okanagan/04_Transportation,2023_UBCO_UBCO-Transportation-Status-Report-2023.pdf,https://campusplanning.ok.ubc.ca/wp-content/uploads/sites/202/2026/01/UBCO2023-TransportationStatusReport-FINAL.pdf,2023,Survey,Transportation,Fetched,PRIORITY,Transportation; Performance Measurement,Latest completed biennial commuter mode-share survey.,Direct mode-share benchmark on the same transit system as OC's 33% baseline.
43,1,UBC Okanagan,02_UBC-Okanagan/04_Transportation,2021_UBCO_UBCO-Transportation-Status-Report-2021.pdf,https://campusplanning.ok.ubc.ca/wp-content/uploads/sites/202/2026/01/UBCO2021-TransportationStatusReport-FINAL.pdf,2021,Survey,Transportation,Fetched,,Transportation,Pandemic-era commute data.,Trend comparator.
44,1,UBC Okanagan,02_UBC-Okanagan/04_Transportation,2019_UBCO_UBCO-Transportation-Status-Report-2019.pdf,https://campusplanning.ok.ubc.ca/wp-content/uploads/sites/202/2026/01/UBCO-2019TransportationStatusReport-FINAL.pdf,2019,Survey,Transportation,Fetched,,Transportation,Pre-pandemic baseline mode share.,Long-run trend baseline.
45,1,UBC Okanagan,02_UBC-Okanagan/04_Transportation,2017_UBCO_UBCO-Transportation-Status-Report-2017.pdf,https://campusplanning.ok.ubc.ca/wp-content/uploads/sites/202/2026/01/UBCO-2017TransportationStatusReportV2-FINAL.pdf,2017,Survey,Transportation,Fetched,,Transportation,Historical mode-share survey.,Long-run trend baseline.
46,1,UBC Okanagan,02_UBC-Okanagan/04_Transportation,2015_UBCO_UBCO-Transportation-Status-Report-2015.pdf,https://campusplanning.ok.ubc.ca/wp-content/uploads/sites/202/2026/01/UBCO-2015TransportationStatusReport-FINAL.pdf,2015,Survey,Transportation,Fetched,,Transportation,Historical mode-share survey.,Long-run trend baseline.
47,1,UBC Okanagan,02_UBC-Okanagan/04_Transportation,2025_UBCO_2025-UBCO-Bike-Infrastructure-Audit-Report.pdf,https://campusplanning.ok.ubc.ca/wp-content/uploads/sites/202/2026/02/Final-2025-Bike-Infrastructure-Audit-Report.pdf,2025,Audit,Transportation,Fetched,,Transportation; Infrastructure,Current-state audit of cycling infrastructure gaps and quality.,"Method for OC's four-campus end-of-trip and active-transport audit, which is still outstanding."
48,1,UBC Okanagan,02_UBC-Okanagan/10_Campus-Master-Plans,2018_UBCO_UBCO-Innovation-Precinct-Structure-Plan.pdf,https://campusplanning.ok.ubc.ca/wp-content/uploads/sites/202/2024/07/UBCO-IPSP-Final.pdf,2018,Plan,Campus-Master-Plans,Fetched,,Infrastructure; Policy/Planning; Indigenous relationality,"New-development plan: 100% on-site stormwater retention for a 1-in-100-year storm, district energy extension, Syilx cultural integration, habitat protection.","A concrete, quotable design standard (100% retention, 1-in-100-year event) OC could adopt for new builds."
49,1,UBC Okanagan,02_UBC-Okanagan/11_Climate-Risk-and-Resilience,2006_UBCO_UBCO-Wildland-Fire-Management-Plan.pdf,https://sustain.ok.ubc.ca/wp-content/uploads/sites/207/2026/05/UBCO-Wildland-Fire-Mngt-Plan-Final-July-28.pdf,2006 (update pending),Plan,Climate-Risk-and-Resilience,Fetched,PRIORITY,Climate Resilience; Infrastructure,FireSmart and forest-management plan for a wildland-interface campus. UBCO achieved FireSmart certification in 2024.,"Directly transferable wildfire planning template. Same exposure as OC Kelowna, Vernon and Salmon Arm."
50,1,UBC Okanagan,02_UBC-Okanagan/05_Energy-and-Buildings,2022_UBCO_UBCO-Integrated-Pest-Management-Plan-2022.pdf,https://operations.ok.ubc.ca/wp-content/uploads/sites/200/2024/10/UBCO-IPM-Plan-2022.pdf,2022,Plan,Energy-and-Buildings,Fetched,,Infrastructure,Grounds and landscape pest management policy.,"Adjacent grounds-sustainability practice, maps to STARS grounds credits."
51,1,UBC Okanagan,02_UBC-Okanagan/05_Energy-and-Buildings,2024_UBCO_UBCO-Energy-Operations-Annual-Report-FY2023-24.pdf,https://operations.ok.ubc.ca/wp-content/uploads/sites/200/2024/09/FY2023-2024-Report-FINAL.pdf,2024,Report,Energy-and-Buildings,Fetched,,Infrastructure (Energy),Annual energy performance with usage and savings figures.,Structure for an OC annual energy performance report by campus.
52,1,UBC Okanagan,02_UBC-Okanagan/05_Energy-and-Buildings,2025_UBCO_UBCO-Strategic-Energy-Management-Plan-Update.pdf,https://operations.ok.ubc.ca/wp-content/uploads/sites/200/2025/11/SEMP-update-Aug-2025-Final.pdf,2025,Plan,Energy-and-Buildings,Fetched,PRIORITY,Infrastructure (Energy),Current energy strategy with heat-pump and cluster-plant conversion plan.,"Cluster-plant retrofit strategy, directly relevant to OC's aging HVAC stock and pre-1990 quarter of floor area."
53,1,UBC Okanagan,02_UBC-Okanagan/05_Energy-and-Buildings,2025_UBCO_UBCO-Integrated-Energy-Strategy-Update.pdf,https://operations.ok.ubc.ca/wp-content/uploads/sites/200/2025/12/UBCO-Integrated-Energy-Strategy-Update-October-2025.pdf,2025,Plan,Energy-and-Buildings,Fetched,,Infrastructure (Energy); Carbon Zero,Most current energy roadmap.,Latest regional benchmark for a multi-year energy transition roadmap.
54,1,UBC Okanagan,02_UBC-Okanagan/05_Energy-and-Buildings,2021_UBCO_UBCO-Building-Energy-Target-Archetype-Study.pdf,https://operations.ok.ubc.ca/wp-content/uploads/sites/200/2024/06/R-09639_010-2021-12-22-RPT-UBCO-Archetype-Study_Final_ISSUED.pdf,2021-22,Study,Energy-and-Buildings,Fetched,PRIORITY,Infrastructure (Energy),Sets building-archetype-based energy targets.,Method for setting per-building-type energy targets. Pairs with OC's VFA building list.
55,1,UBC Okanagan,02_UBC-Okanagan/09_Indigenous-and-Engagement,2020_UBCO_TRC-Commitments-Annual-Report-2020.pdf,https://okmain.cms.ok.ubc.ca/wp-content/uploads/sites/26/2021/01/TRC-2020-Annual-Report-spreads.pdf,2020,Report,Indigenous-and-Engagement,Fetched,,Indigenous relationality,First annual progress report against the five TRC commitments.,Reporting template for tracking Indigenous-relationality commitments annually.
56,1,UBC Okanagan,02_UBC-Okanagan/09_Indigenous-and-Engagement,2021_UBCO_TRC-Commitments-Annual-Report-2021.pdf,https://okmain.cms.ok.ubc.ca/wp-content/uploads/sites/26/2022/02/TRC-2021-Annual-Report.pdf,2021,Report,Indigenous-and-Engagement,Fetched,,Indigenous relationality,Second annual progress report.,Year-over-year comparator.
57,1,UBC Okanagan,02_UBC-Okanagan/09_Indigenous-and-Engagement,2022_UBCO_TRC-Commitments-Annual-Report-2022.pdf,https://okmain.cms.ok.ubc.ca/wp-content/uploads/sites/26/2023/06/TRC-2022-Annual-Report.pdf,2022,Report,Indigenous-and-Engagement,Fetched,,Indigenous relationality,Third annual progress report.,Most recent public update in the series.
58,1,UVic,03_UVic/01_Plans-and-Strategies,2023_UVic_Climate-and-Sustainability-Action-Plan-CSAP-2030-Strategy.pdf,https://www.uvic.ca/_assets/docs/csap2030-strategy.pdf,2023,Plan,Plans-and-Strategies,Fetched,PRIORITY,Policy/Planning; Climate Resilience; Indigenous relationality,"Flagship 6-year plan on 4 pillars (Sacred Earth, Innovator & Partner, Educator & Learner, Climate Solutions & Leader) with 2030/2040/2050 GHG and STARS targets. Already in OC's project files.",A 4-pillar naming convention that embeds an Indigenous-language pillar name. OC could co-name a pillar with Syilx or Secwepemc terms in consultation.
59,1,UVic,03_UVic/01_Plans-and-Strategies,2023_UVic_CSAP-2030-Actions.pdf,https://www.uvic.ca/_assets/docs/csap2030-actions.pdf,2023,Plan annex,Plans-and-Strategies,Fetched,,All 4 focus areas,"Detailed action list under each pillar, e.g. transitioning Gordon Head off fossil-fuel heating by 2040. Already in OC's project files.","Template for translating pillars into discrete, owned action items with target years."
60,1,UVic,03_UVic/08_Governance-and-Policy,2017_UVic_Sustainability-Policy.pdf,https://www.uvic.ca/sustainability/assets/docs/policy/sustainability-policy-2017.pdf,2017,Policy,Governance-and-Policy,Seen in search,,Policy/Planning,"Board-level policy establishing sustainability as an institutional commitment, predating CSAP 2030.","Precedent for a short, durable board-approved policy that plans are then built under."
61,1,UVic,03_UVic/01_Plans-and-Strategies,2020_UVic_Sustainability-Action-Plan-Campus-Operations-2020-2021.pdf,https://www.uvic.ca/sustainability/assets/docs/uvic-sustainability-action-plan-2020-2021.pdf,2020,Plan,Plans-and-Strategies,Seen in search,,Policy/Planning,Bridge plan between the 2014-2019 SAP and CSAP 2030.,How to sequence a short bridging plan between major planning cycles.
62,1,UVic,03_UVic/01_Plans-and-Strategies,2021_UVic_2021-SAP-Final-Close-out-Report.pdf,https://www.uvic.ca/sustainability/assets/docs/reports/2021-sap-closeout-report-final.pdf,2021,Report,Plans-and-Strategies,Seen in search,,Performance Measurement,Scores completion of the 2020-2021 plan's actions.,Close-out reporting format for wrapping a plan cycle before launching the next.
