id,collection,folder,filename,title,institution,group_label,year,doc_type,category,impact_areas,priority,access,summary,oc_use,url,url_status,source_notes
OC2018,oc,01_OC_CCAR,Okanagan_College_CCAR_2018.pdf,OC Carbon Neutral Action Report 2018,Okanagan College,OC statutory reporting,2018,CNAR,Climate and GHG Reporting,Carbon Zero; Performance Measurement,,Public (provincial filing),"OC's statutory filing to the Province for the 2018 reporting year. Carries reported Scope 1, Scope 2 and reportable Scope 3 emissions, offset purchases, and the building, fleet and paper breakdowns on the standard provincial template.",One year of the eighteen-year consecutive series that is OC's primary baseline dataset. Read the whole series together rather than any single year.,https://www2.gov.bc.ca/assets/gov/environment/climate-change/cnar/2018/ps/final_okanagancollege_2018.pdf,VERIFIED,last year of un-underscored name form
OC2019,oc,01_OC_CCAR,Okanagan_College_CCAR_2019.pdf,OC Carbon Neutral Action Report 2019,Okanagan College,OC statutory reporting,2019,CNAR,Climate and GHG Reporting,Carbon Zero; Performance Measurement,,Public (provincial filing),"OC's statutory filing to the Province for the 2019 reporting year. Carries reported Scope 1, Scope 2 and reportable Scope 3 emissions, offset purchases, and the building, fleet and paper breakdowns on the standard provincial template. Provincial filename uniquely carries an _overview suffix.",One year of the eighteen-year consecutive series that is OC's primary baseline dataset. Read the whole series together rather than any single year.,https://www2.gov.bc.ca/assets/gov/environment/climate-change/cnar/2019/ps/final_okanagan_college_2019_overview.pdf,VERIFIED,_overview suffix unique to 2019
OC2020,oc,01_OC_CCAR,Okanagan_College_CCAR_2020.pdf,OC Climate Change Accountability Report 2020,Okanagan College,OC statutory reporting,2020,CCAR,Climate and GHG Reporting,Carbon Zero; Performance Measurement,PRIORITY,Public (provincial filing),"OC's statutory filing to the Province for the 2020 reporting year. Carries reported Scope 1, Scope 2 and reportable Scope 3 emissions, offset purchases, and the building, fleet and paper breakdowns on the standard provincial template. First year filed as a Climate Change Accountability Report rather than a Carbon Neutral Action Report.",One year of the eighteen-year consecutive series that is OC's primary baseline dataset. Read the whole series together rather than any single year.,https://www2.gov.bc.ca/assets/gov/environment/climate-change/cnar/2020/okanagan_college.pdf,VERIFIED,no /ps/ sector subfolder in 2020; filename carries no year
OC2021,oc,01_OC_CCAR,Okanagan_College_CCAR_2021.pdf,OC Climate Change Accountability Report 2021,Okanagan College,OC statutory reporting,2021,CCAR,Climate and GHG Reporting,Carbon Zero; Performance Measurement,PRIORITY,Public (provincial filing),"OC's statutory filing to the Province for the 2021 reporting year. Carries reported Scope 1, Scope 2 and reportable Scope 3 emissions, offset purchases, and the building, fleet and paper breakdowns on the standard provincial template.",One year of the eighteen-year consecutive series that is OC's primary baseline dataset. Read the whole series together rather than any single year.,https://www2.gov.bc.ca/assets/gov/environment/climate-change/cnar/2021/okanagan_college_2021_ccar.pdf,VERIFIED,no sector subfolder; first year of _ccar suffix
OC2022,oc,01_OC_CCAR,Okanagan_College_CCAR_2022.pdf,OC Climate Change Accountability Report 2022,Okanagan College,OC statutory reporting,2022,CCAR,Climate and GHG Reporting,Carbon Zero; Performance Measurement,PRIORITY,Public (provincial filing),"OC's statutory filing to the Province for the 2022 reporting year. Carries reported Scope 1, Scope 2 and reportable Scope 3 emissions, offset purchases, and the building, fleet and paper breakdowns on the standard provincial template. Provincial filename says 2023 and sits in a 'uc' sector folder. The document is the 2022 reporting year. OC labels its own reports by submission year, the Province by reporting year.",One year of the eighteen-year consecutive series that is OC's primary baseline dataset. Read the whole series together rather than any single year.,https://www2.gov.bc.ca/assets/gov/environment/climate-change/cnar/2022/uc/okanagan_college_cnar_report_2023_signed.pdf,VERIFIED,"TWO quirks: sector folder is uc not ps, and the provincial filename says 2023 while this is the 2022 report"
OC2023,oc,01_OC_CCAR,Okanagan_College_CCAR_2023.pdf,OC Climate Change Accountability Report 2023,Okanagan College,OC statutory reporting,2023,CCAR,Climate and GHG Reporting,Carbon Zero; Performance Measurement,PRIORITY,Public (provincial filing),"OC's statutory filing to the Province for the 2023 reporting year. Carries reported Scope 1, Scope 2 and reportable Scope 3 emissions, offset purchases, and the building, fleet and paper breakdowns on the standard provincial template.",One year of the eighteen-year consecutive series that is OC's primary baseline dataset. Read the whole series together rather than any single year.,https://www2.gov.bc.ca/assets/gov/environment/climate-change/cnar/2023/ps/okanagan_college_2023_ccar.pdf,VERIFIED,sector folder returns to ps
OC2024,oc,01_OC_CCAR,Okanagan_College_CCAR_2024.pdf,OC Climate Change Accountability Report 2024,Okanagan College,OC statutory reporting,2024,CCAR,Climate and GHG Reporting,Carbon Zero; Performance Measurement,PRIORITY,Public (provincial filing),"OC's statutory filing to the Province for the 2024 reporting year. Carries reported Scope 1, Scope 2 and reportable Scope 3 emissions, offset purchases, and the building, fleet and paper breakdowns on the standard provincial template. The provincial PDF has a damaged text layer. Read figures from it by eye rather than by extraction.",One year of the eighteen-year consecutive series that is OC's primary baseline dataset. Read the whole series together rather than any single year.,https://www2.gov.bc.ca/assets/gov/environment/climate-change/cnar/2024/ps/okanagan_college_2024_ccar.pdf,VERIFIED,PDF text layer is damaged; signed by President Neil Fassina 9 Jun 2025; text extraction will need care
OC2025,oc,01_OC_CCAR,Okanagan_College_CCAR_2025.pdf,OC Climate Change Accountability Report 2025,Okanagan College,OC statutory reporting,2025,CCAR,Climate and GHG Reporting,Carbon Zero; Performance Measurement,PRIORITY,Public (provincial filing),"OC's statutory filing to the Province for the 2025 reporting year. Carries reported Scope 1, Scope 2 and reportable Scope 3 emissions, offset purchases, and the building, fleet and paper breakdowns on the standard provincial template.",One year of the eighteen-year consecutive series that is OC's primary baseline dataset. Read the whole series together rather than any single year.,https://www2.gov.bc.ca/assets/gov/environment/climate-change/cnar/2025/ps/okanagan_college_2025_ccar.pdf,VERIFIED,reporting period 1 Jan - 31 Dec 2025
BC01,policy,02_BC_Provincial,BC_CleanBC_Roadmap_to_2030.pdf,CleanBC Roadmap to 2030,Province of British Columbia,British Columbia,2021,Plan,Policy and Regulation,Carbon Zero; Policy / Planning,PRIORITY,Public,Released 25 October 2021. Sets the provincial sectoral pathways to BC's 2030 target. Still the operative provincial plan as of August 2026.,"The provincial target OC's own reduction pathway has to sit inside. Sets the sectoral ceilings for buildings, transport and industry that constrain what OC can claim.",https://www2.gov.bc.ca/assets/gov/environment/climate-change/action/cleanbc/cleanbc_roadmap_2030.pdf,VERIFIED,"Released 25 Oct 2021. Still BC's operative 2030 plan, not superseded."
BC02,policy,02_BC_Provincial,BC_CleanBC_Roadmap_Local_Government_Brochure.pdf,CleanBC Roadmap to 2030: Local Government summary,Province of British Columbia,British Columbia,2021,Brochure,Policy and Regulation,Policy / Planning; Communications,,Public,"Two-page local-government framing of the Roadmap, including the funding and planning supports available to local bodies.",Short enough to attach to a briefing note. Useful for explaining provincial direction to a non-technical audience.,https://www2.gov.bc.ca/assets/gov/environment/climate-change/action/cleanbc/cleanbc_roadmap_local_govt_brochure.pdf,VERIFIED,A separate general-audience 2-pager exists at cleanbc_roadmap_brochure.pdf; confirm which copy is held.
BC03,policy,02_BC_Provincial,BC_Energy_and_Zero_Carbon_Step_Code_Guidebook_v3.pdf,BC Energy Step Code and Zero Carbon Step Code: Best Practices Guide v3.0,Province of British Columbia,British Columbia,2024,Guidebook,Policy and Regulation,Infrastructure (Energy/Water); Policy / Planning,PRIORITY,Public,"Version 3.0, June 2024. SUPERSEDED: the provincial Step Code resources page now links version 3.2. This copy is the archived edition.",Governs new construction and major renovation in the Capital Master Plan. Check against v3.2 before citing a requirement.,https://www2.gov.bc.ca/assets/gov/farming-natural-resources-and-industry/construction-industry/building-codes-and-standards/step-code-resources/local-gov-resources/stepcodes_guidebook_v30.pdf,VERIFIED,SUPERSEDED. The Step Code resources page now links v3.2 at .../stepcodes_guidebook_v32.pdf. Record v3.2 as the live citation and v3.0 as the archived copy.
BC04,policy,02_BC_Provincial,BC_Zero_Carbon_Step_Code_Bulletin.pdf,20%-Better Energy Efficiency and Zero Carbon Step Code bulletin,Province of British Columbia,British Columbia,2023,Bulletin,Policy and Regulation,Infrastructure (Energy/Water),,Public,Dated 1 May 2023. Sets out the performance and prescriptive routes to the 20%-better requirement and the Zero Carbon Step Code levels EL-1 through EL-4.,The specific compliance levels a new OC building would be designed to. Pairs with the VFA building list for retrofit target setting.,https://www2.gov.bc.ca/assets/gov/farming-natural-resources-and-industry/construction-industry/building-codes-and-standards/bulletins/20_better_ee__zcsc.pdf,VERIFIED,Dated 1 May 2023. Covers ZCSC levels EL-1 to EL-4.
CA01,policy,03_Canada_Federal,CAN_2030_Emissions_Reduction_Plan_2022.pdf,2030 Emissions Reduction Plan,Government of Canada,Canada,2022,Plan,Policy and Regulation,Carbon Zero; Policy / Planning,,Public,"Environment and Climate Change Canada, March 2022. Catalogue En4-460/2022E-PDF. The federal sectoral plan underpinning the 2030 commitment.","Federal context for the target ladder. Rarely cited directly by an institution, but sets the national trajectory OC's numbers roll up into.",https://publications.gc.ca/collections/collection_2022/eccc/En4-460-2022-eng.pdf,LISTED,Cat. En4-460/2022E-PDF. URL read off catalogue record publications.gc.ca/site/eng/9.909338. Not fetched: publications.gc.ca serves an archived-notice interstitial. PDF replaced 2 Jun 2022 at ECCC request.
CA02,policy,03_Canada_Federal,CAN_2030_ERP_Progress_Report_2025.pdf,2025 Progress Report on the 2030 Emissions Reduction Plan,Government of Canada,Canada,2025,Progress report,Policy and Regulation,Carbon Zero; Performance Measurement,,Public,"Catalogue En4-460/1-2025E-PDF, iv plus 243 pages, issued March 2026. Supersedes the 2023 progress report. The most recent federal progress assessment.","Shows whether the national trajectory is on track, which is the honest framing for any OC target that references federal ambition.",https://publications.gc.ca/collections/collection_2025/eccc/en4/En4-460-1-2025-eng.pdf,LISTED,"Cat. En4-460/1-2025E-PDF, iv+243 pp. Canada.ca issued 11 Mar 2026. Supersedes the 2023 progress report. Same interstitial prevented fetching."
CA03,policy,03_Canada_Federal,CAN_2030_Enhanced_NDC_2021.pdf,Canada's 2021 Nationally Determined Contribution,Government of Canada,Canada,2021,NDC,Policy and Regulation,Carbon Zero; Policy / Planning,,Public,Submitted to UNFCCC 12 July 2021. The 40 to 45 percent below 2005 by 2030 commitment. Superseded as Canada's latest NDC by the 2035 submission but still the operative 2030 pledge.,The internationally registered 2030 number. Use this rather than a news figure when stating Canada's commitment.,https://unfccc.int/sites/default/files/NDC/2022-06/Canada%27s%20Enhanced%20NDC%20Submission1_FINAL%20EN.pdf,VERIFIED,"Submitted 12 Jul 2021. 40-45% below 2005 by 2030. Superseded as latest NDC by the 2035 submission but remains the operative 2030 commitment. The UNFCCC registry index now surfaces only the 2035 entry, so keep this direct file URL."
CA04,policy,03_Canada_Federal,CAN_Net-Zero_Emissions_Accountability_Act.pdf,Canadian Net-Zero Emissions Accountability Act,Government of Canada,Canada,2021,Statute,Policy and Regulation,Policy / Planning; Investment,PRIORITY,Public,"S.C. 2021 c.22, assented 29 June 2021, consolidation current to 17 June 2026. The source URL always serves the newest consolidation, so this copy will drift from the live statute.",The legal architecture behind the 2050 target. Cite the statute rather than a policy document when the plan asserts a legislated obligation.,https://laws-lois.justice.gc.ca/PDF/C-19.3.pdf,VERIFIED,"S.C. 2021 c.22, assented 29 Jun 2021, consolidation current to 17 Jun 2026. This URL always serves the newest consolidation, so the held copy will drift. Record the current-to date alongside it."
CA05,policy,03_Canada_Federal,CAN_2035_Nationally_Determined_Contribution.pdf,Canada's 2035 Nationally Determined Contribution,Government of Canada,Canada,2025,NDC,Policy and Regulation,Carbon Zero; Policy / Planning,PRIORITY,Public,"Submitted to UNFCCC 11 February 2025. Commits Canada to 45 to 50 percent below 2005 levels by 2035, roughly 381 to 419 Mt CO2e, as a step toward net zero by 2050. Canada's current NDC and a progression from the 40 to 45 percent 2030 target.","The newest federal commitment, and the top of the domestic target ladder. Use this rather than the 2030 NDC when the plan's horizon runs past 2030.",https://unfccc.int/sites/default/files/2025-02/Canada%27s%202035%20Nationally%20Determined%20Contribution_ENc.pdf,VERIFIED,"Core text runs to roughly 30 pages with annexes covering legislative requirements, engagement submissions and provincial input, reaching about 188 pages in total. Corroborated against the UNFCCC NDC registry entry and the ECCC news release of February 2025."
UN01,policy,04_International,UN_Paris_Agreement_2015_Full_Text.pdf,"Paris Agreement, full text",UNFCCC,International,2015,Treaty,Policy and Regulation,Carbon Zero; Policy / Planning,,Public,"The standalone Agreement text, Articles 1 to 29, adopted 12 December 2015. Sixteen pages.",The top rung of the target ladder. Quote Article 2 rather than paraphrasing 'the Paris target'.,https://unfccc.int/files/meetings/paris_nov_2015/application/pdf/paris_agreement_english_.pdf,VERIFIED,"16 printed pages, matches the held copy. A longer 27-page UNFCCC edition exists at resource/english_paris_agreement.pdf; that is not the match."
UN02,policy,04_International,UN_Paris_Agreement_COP21_Decision_1-CP21.pdf,"Decision 1/CP.21, Adoption of the Paris Agreement",UNFCCC,International,2015,Decision,Policy and Regulation,Policy / Planning,,Public,Document symbol FCCC/CP/2015/10/Add.1. The COP21 decision with the Agreement annexed.,The formal citation for how the Agreement was adopted. Needed only where a document has to be cited precisely.,https://unfccc.int/sites/default/files/resource/parisagreement_publication.pdf,VERIFIED,"Typeset edition, ~60 pp, matches the held copy. The plain ODS version of the same symbol is at unfccc.int/resource/docs/2015/cop21/eng/10a01.pdf (~36 pp) if the shorter typeset is what is held."
UN03,policy,04_International,UN_IPCC_AR6_Synthesis_Report_SPM_2023.pdf,IPCC AR6 Synthesis Report: Summary for Policymakers,IPCC,International,2023,Assessment,Policy and Regulation,Carbon Zero; Climate Resilience,PRIORITY,Public,2023. The consolidated Sixth Assessment findings in policymaker form. Published as a standalone PDF.,The defensible source for any statement about warming trajectories or remaining carbon budgets in the plan's opening case.,https://www.ipcc.ch/report/ar6/syr/downloads/report/IPCC_AR6_SYR_SPM.pdf,LISTED,"Published standalone, so the held copy matches a real source file. Not fetched: www.ipcc.ch is blocked from the research tooling and the download page builds links in JavaScript. Landing page confirmed at ipcc.ch/report/ar6/syr/."
UN04,policy,04_International,UN_IPCC_AR6_WG1_SPM_2021.pdf,IPCC AR6 Working Group I: Summary for Policymakers,IPCC,International,2021,Assessment,Policy and Regulation,Climate Resilience,,Public,2021. The physical science basis in policymaker form. This copy matches the SPM extract rather than the longer cover-wrapped standalone edition.,"Source for regional climate projections framing, which feeds the physical-risk side of Financial and Risk Realities.",https://www.ipcc.ch/report/ar6/wg1/downloads/report/IPCC_AR6_WGI_SPM.pdf,LISTED,"The ~32 pp held copy matches this SPM extract, not the longer cover-wrapped IPCC_AR6_WGI_SPM_Stand_Alone.pdf. Same ipcc.ch fetch block."
CT01,policy,05_City_Plans/Kelowna,CITY_Kelowna_Climate_Resilient_Strategy_2024.pdf,Climate Resilient Kelowna Strategy,City of Kelowna,Okanagan and Shuswap cities,2024,Strategy,Municipal Climate Planning,Carbon Zero; Climate Resilience; Policy / Planning,PRIORITY,Public,"September 2024. Targets 40 percent below 2007 by 2030 and net zero by 2050, across 10 drivers, 27 strategies and 153 actions. Supersedes Kelowna's 2018 to 2023 Community Climate Action Plan, whose URL now redirects here.","The community inventory boundary OC Kelowna sits inside, and the closest municipal target OC's Kelowna campus will be measured against by neighbours.",https://www.kelowna.ca/sites/files/1/docs/related/attachment_1_climate_resilient_kelowna_strategy_23sept24.pdf,VERIFIED,"Sept 2024. 40% below 2007 by 2030, net-zero 2050; 10 drivers, 27 strategies, 153 actions. Supersedes the 2018-2023 Community Climate Action Plan, whose old URL now redirects here."
CT02,policy,05_City_Plans/Kelowna,CITY_Kelowna_Corporate_Sustainable_Energy_Management_Plan.pdf,Corporate Strategic Energy Management Plan,City of Kelowna,Okanagan and Shuswap cities,2023,Plan,Municipal Climate Planning,Infrastructure (Energy/Water); Performance Measurement,,Public,"Final report January 2023, 47 pages. Targets a 40 percent corporate GHG cut below 2007 by 2030 and a 20 percent energy-intensity cut below 2012. NOTE: the City calls this the Corporate STRATEGIC Energy Management Plan; the filename says Sustainable.","A same-city corporate SEMP with an energy-intensity KPI, directly comparable to what OC needs for its own building portfolio.",https://www.kelowna.ca/sites/files/1/docs/community/city_of_kelowna_corporate_semp_final_report_0.pdf,VERIFIED,"TITLE CORRECTION: Kelowna calls it Corporate STRATEGIC Energy Management Plan, not Sustainable. Final report Jan 2023, 47 pp. Targets 40% corporate GHG below 2007 by 2030 and 20% EUI cut below 2012."
CT03,policy,05_City_Plans/Vernon,CITY_Vernon_Climate_Action_Plan_2021.pdf,City of Vernon Climate Action Plan,City of Vernon,Okanagan and Shuswap cities,2021,Plan,Municipal Climate Planning,Carbon Zero; Transportation; Policy / Planning,,Public,"April 2021. FLAG: Vernon opened a review of this plan in early 2026, so it may be superseded shortly.",Municipal context for OC Vernon. Watch for the refreshed version before citing targets.,https://www.vernon.ca/sites/default/files/docs/Sustainability/Climate-Action/210408_cap_full_final.pdf,VERIFIED,"April 2021. FLAG: Vernon opened a CAP review in early 2026, so this may be superseded soon."
CT04,policy,05_City_Plans/Vernon,CITY_Vernon_Emissions_Modelling_Actions_Targets_2020.pdf,Vernon GHG Emissions Modelling and Reduction Targets Report,City of Vernon,Okanagan and Shuswap cities,2020,Study,Municipal Climate Planning,Carbon Zero; Performance Measurement,,Public,"February 2020. 2017 baseline of 309,407 tCO2e, split 63 percent transport, 26 percent natural gas, 7 percent waste. ORPHANED SOURCE: no longer linked from any current City page, found by search only.","A worked municipal modelling method, and a cautionary case for why the library copy matters. The source could disappear without notice.",https://www.vernon.ca/sites/default/files/docs/Sustainability/Climate-Action/20_02_12_modelling_actions_targets_report.pdf,VERIFIED,"Feb 2020. 2017 baseline 309,407 tCO2e; transport 63%, natural gas 26%, waste 7%. ORPHANED URL: no longer linked from Vernon's climate page, found only by search. The mirror is the only reliable access."
CT05,policy,05_City_Plans/Vernon,CITY_Vernon_Local_Govt_Climate_Action_Report_2024.pdf,Vernon Local Government Climate Action Program survey and attestation,City of Vernon,Okanagan and Shuswap cities,2024,Statutory report,Municipal Climate Planning,Performance Measurement; Policy / Planning; Carbon Zero,,Public,"Signed and submitted 31 July 2024, reporting on the 2023 calendar year. The reporting year is not printed on a cover page; it appears in the question wording, which asks about emissions measured 'for the 2023 calendar year'. Vernon's own stated targets in this submission are 50 percent by 2030, 75 percent by 2040 and 100 percent by 2050, all steeper than the provincial 40 / 60 / 80 legislated targets.","Shows the provincial survey-and-attestation format local governments file, a useful comparator to OC's own CCAR template. More usefully, it records a neighbouring municipality voluntarily committing beyond the provincial target, which is a relevant reference point when OC sets its own ambition.",https://www.vernon.ca/sites/default/files/docs/Sustainability/Climate-Action/LGCAP2024-final-report.pdf,VERIFIED,"Confirmed as the July 2024 submission covering calendar 2023, so this is the correct source URL. A separate August 2025 submission covering calendar 2024 exists at vernon.ca/sites/default/files/2025-09/ and is a different document. BC publishes only the aggregate LGCAP summary, not individual municipal submissions."
CT06,policy,05_City_Plans/Penticton,CITY_Penticton_Community_Climate_Action_Plan_2021.pdf,Penticton Community Climate Action Plan,City of Penticton,Okanagan and Shuswap cities,2021,Plan,Municipal Climate Planning,Carbon Zero; Transportation; Policy / Planning,,Public,"October 2021, with appendices A to G. Prepared with the Community Energy Association, part-funded by FortisBC and Emotive.","Community context for OC Penticton, and a model of a plan built with external funding partners.",https://www.penticton.ca/sites/default/files/docs/our-community/environment/2021%20Community%20Climate%20Action%20Plan.pdf,VERIFIED,"Oct 2021, appendices A-G. Prepared with Community Energy Association, part-funded by FortisBC and Emotive."
CT07,policy,05_City_Plans/Penticton,CITY_Penticton_Corporate_Climate_Action_Plan_2011.pdf,Penticton Corporate Climate Action Plan,City of Penticton,Okanagan and Shuswap cities,2011,Plan,Municipal Climate Planning,Policy / Planning,,Public,"January 2011, Stantec, under the South Okanagan Similkameen Climate Action Planning Project. Functionally superseded by the 2022 Corporate Energy and Emissions Plan. RISK: the source URL carries no year, so a future corporate plan could silently overwrite it.",Historical baseline showing how far municipal practice has moved in fifteen years. Useful for framing OC's own starting point honestly.,https://www.penticton.ca/sites/default/files/docs/our-community/environment/Corporate%20Climate%20Action%20Plan.pdf,VERIFIED,"Jan 2011, Stantec, under the South Okanagan Similkameen Climate Action Planning Project. Functionally superseded by the 2022 Corporate Energy and Emissions Plan. RISK: the URL carries no year, so a future corporate plan could silently overwrite it."
CT08,policy,05_City_Plans/Penticton,CITY_Penticton_Corporate_Energy_and_Emissions_Plan_2022.pdf,Penticton Corporate Energy and Emissions Plan,City of Penticton,Okanagan and Shuswap cities,2022,Plan,Municipal Climate Planning,Infrastructure (Energy/Water); Carbon Zero,,Public,"May 2022, roughly 95 pages. Targets a 30 percent corporate GHG cut by 2025 and 45 percent by 2030 against a 2009 baseline. Not linked from the City's climate action page.","A recent corporate energy plan from an OC campus city, with explicit interim and 2030 targets against a fixed baseline.",https://www.penticton.ca/sites/default/files/docs/our-community/environment/2022-05-17-PDF-2022%20Corporate%20Energy%20and%20Emissions%20Plan_0.pdf,VERIFIED,"May 2022, ~95 pp. Targets 30% corporate GHG cut by 2025 and 45% by 2030 against a 2009 baseline. Not linked from penticton.ca/climate-action."
