id,collection,access,title,institution,group,category,docClass,docType,yearLabel,kind,hosted,priority,focusAreas,impactAreas,lenses,crossCutting,verification,openUrl,fileUrl,sourceUrl,path,captured,logStatus,summary,ocUse
OC2011,oc,Public (provincial filing),OC Carbon Neutral Action Report 2011,Okanagan College,OC statutory reporting,Climate and GHG Reporting,Statutory and climate reporting,CNAR,2011,file,True,False,Operations; Engagement,Carbon Zero; Performance Measurement,,False,Source fetched and confirmed,https://sustainoc.github.io/Docs3/01_OC_CCAR/Okanagan_College_CCAR_2011.pdf,https://sustainoc.github.io/Docs3/01_OC_CCAR/Okanagan_College_CCAR_2011.pdf,https://www2.gov.bc.ca/assets/gov/environment/climate-change/cnar/2011/ps/okanagancollege_2011.pdf,01_OC_CCAR/Okanagan_College_CCAR_2011.pdf,,,"OC's statutory filing to the Province for the 2011 reporting year. Carries reported Scope 1, Scope 2 and reportable Scope 3 emissions, offset purchases, and the building, fleet and paper breakdowns on the standard provincial template.",One year of the eighteen-year consecutive series that is OC's primary baseline dataset. Read the whole series together rather than any single year.
OC2010,oc,Public (provincial filing),OC Carbon Neutral Action Report 2010,Okanagan College,OC statutory reporting,Climate and GHG Reporting,Statutory and climate reporting,CNAR,2010,file,True,False,Operations; Engagement,Carbon Zero; Performance Measurement,,False,Source fetched and confirmed,https://sustainoc.github.io/Docs3/01_OC_CCAR/Okanagan_College_CCAR_2010.pdf,https://sustainoc.github.io/Docs3/01_OC_CCAR/Okanagan_College_CCAR_2010.pdf,https://www2.gov.bc.ca/assets/gov/environment/climate-change/cnar/2010/ps/okanagancollege_2010.pdf,01_OC_CCAR/Okanagan_College_CCAR_2010.pdf,,,"OC's statutory filing to the Province for the 2010 reporting year. Carries reported Scope 1, Scope 2 and reportable Scope 3 emissions, offset purchases, and the building, fleet and paper breakdowns on the standard provincial template.",One year of the eighteen-year consecutive series that is OC's primary baseline dataset. Read the whole series together rather than any single year.
OC2009,oc,Public (provincial filing),OC Carbon Neutral Action Report 2009,Okanagan College,OC statutory reporting,Climate and GHG Reporting,Statutory and climate reporting,CNAR,2009,file,True,False,Operations; Engagement,Carbon Zero; Performance Measurement,,False,Source fetched and confirmed,https://sustainoc.github.io/Docs3/01_OC_CCAR/Okanagan_College_CCAR_2009.pdf,https://sustainoc.github.io/Docs3/01_OC_CCAR/Okanagan_College_CCAR_2009.pdf,https://www2.gov.bc.ca/assets/gov/environment/climate-change/cnar/2009/ps/okanagancollege_2009.pdf,01_OC_CCAR/Okanagan_College_CCAR_2009.pdf,,,"OC's statutory filing to the Province for the 2009 reporting year. Carries reported Scope 1, Scope 2 and reportable Scope 3 emissions, offset purchases, and the building, fleet and paper breakdowns on the standard provincial template.",One year of the eighteen-year consecutive series that is OC's primary baseline dataset. Read the whole series together rather than any single year.
OC2008,oc,Public (provincial filing),OC Carbon Neutral Action Report 2008,Okanagan College,OC statutory reporting,Climate and GHG Reporting,Statutory and climate reporting,CNAR,2008,file,True,False,Operations; Engagement,Carbon Zero; Performance Measurement,,False,Source fetched and confirmed,https://sustainoc.github.io/Docs3/01_OC_CCAR/Okanagan_College_CCAR_2008.pdf,https://sustainoc.github.io/Docs3/01_OC_CCAR/Okanagan_College_CCAR_2008.pdf,https://www2.gov.bc.ca/assets/gov/environment/climate-change/cnar/2008/ps/okanagan_college.pdf,01_OC_CCAR/Okanagan_College_CCAR_2008.pdf,,,"OC's statutory filing to the Province for the 2008 reporting year. Carries reported Scope 1, Scope 2 and reportable Scope 3 emissions, offset purchases, and the building, fleet and paper breakdowns on the standard provincial template. First submission year. Provincial filename carries no year suffix. Report dated 30 June 2009 at submission but covers 2008 actions.",One year of the eighteen-year consecutive series that is OC's primary baseline dataset. Read the whole series together rather than any single year.
OC011,oc,Restricted,Accessibility and CPTED Report: Kelowna Outdoor,Okanagan College,Okanagan College,Accessibility and Safety,Audits and assessments,Assessment,Current,record,False,False,,,,False,Held by the SustainOC team,,,,,,,Physical security assessment. Identifies lighting gaps and sightline weaknesses. Do not publish to an open URL.,
OC013,oc,Restricted,Accessibility and CPTED Report: Salmon Arm Outdoor,Okanagan College,Okanagan College,Accessibility and Safety,Audits and assessments,Assessment,Current,record,False,False,,,,False,Held by the SustainOC team,,,,,,,Physical security assessment. Identifies lighting gaps and sightline weaknesses. Do not publish to an open URL.,
OC012,oc,Restricted,Accessibility and CPTED Report: Vernon Outdoor,Okanagan College,Okanagan College,Accessibility and Safety,Audits and assessments,Assessment,Current,record,False,False,,,,False,Held by the SustainOC team,,,,,,,Physical security assessment. Identifies lighting gaps and sightline weaknesses. Do not publish to an open URL.,
OC010,oc,Internal,Building List with Years and Square Footage (VFA),Okanagan College,Okanagan College,Energy and Buildings,"Studies, surveys and data",Dataset,2026,record,False,False,,,,False,Held by the SustainOC team,,,,,,,VFA asset export dated 29 April 2026. Underpins energy-intensity denominators.,
OC005,oc,Internal,Current State Transportation,Okanagan College,Okanagan College,Transportation,Reports and progress updates,Report,2026,record,False,False,,,,False,Held by the SustainOC team,,,,,,,Working analysis of the current transportation state across the four campuses.,
OC009,oc,Internal,Fleet Summary,Okanagan College,Okanagan College,Transportation,"Studies, surveys and data",Dataset,2026,record,False,False,,,,False,Held by the SustainOC team,,,,,,,"Fleet inventory summary, August 2026. Feeds the Scope 1 baseline.",
OC008,oc,Internal,Parking Map: Salmon Arm,Okanagan College,Okanagan College,Transportation,"Studies, surveys and data",Dataset,Current,record,False,False,,,,False,Held by the SustainOC team,,,,,,,"Campus parking layout, Salmon Arm.",
OC002,oc,Internal,Strategic Plan: Inspire,Okanagan College,Okanagan College,Plans and Strategies,Plans and strategies,Strategic plan,Current,record,False,False,,,,False,Held by the SustainOC team,,,,,,,Classification not yet confirmed. Likely already public on the OC website; promote to Public once verified.,
OC003,oc,Internal,Transportation Assessment Final Report,Okanagan College,Okanagan College,Transportation,Reports and progress updates,Report,2026,record,False,False,,,,False,Held by the SustainOC team,,,,,,,Consultant final report dated 6 May 2026.,
OC006,oc,Internal,Transportation Documents Checklist,Okanagan College,Okanagan College,Transportation,Audits and assessments,Methodology,2026,record,False,False,,,,False,Held by the SustainOC team,,,,,,,Tracking checklist for the transportation evidence base.,
OC004,oc,Internal,Transportation Emissions Evaluation Workplan,Okanagan College,Okanagan College,Transportation,Plans and strategies,Plan,2026,record,False,False,,,,False,Held by the SustainOC team,,,,,,,Workplan dated 11 June 2026.,
OC001,oc,Internal,Capital Master Plan,Okanagan College,Okanagan College,Campus Master Plans,Plans and strategies,Master plan,2025,record,False,False,,,,False,Held by the SustainOC team,,,,,,,Classification not yet confirmed. Board-level capital planning document dated 30 May 2025.,
OC007,oc,Internal,Campus Parking Stall Count,Okanagan College,Okanagan College,Transportation,"Studies, surveys and data",Dataset,2024,record,False,False,,,,False,Held by the SustainOC team,,,,,,,"Stall counts by campus, September 2024.",
BC03,policy,Public,BC Energy Step Code and Zero Carbon Step Code: Best Practices Guide v3.0,Province of British Columbia,British Columbia,Policy and Regulation,Other,Guidebook,2024,file,True,True,Operations; Planning and Administration,Infrastructure (Energy/Water); Policy / Planning,,False,Source fetched and confirmed,https://sustainoc.github.io/Docs3/02_BC_Provincial/BC_Energy_and_Zero_Carbon_Step_Code_Guidebook_v3.pdf,https://sustainoc.github.io/Docs3/02_BC_Provincial/BC_Energy_and_Zero_Carbon_Step_Code_Guidebook_v3.pdf,https://www2.gov.bc.ca/assets/gov/farming-natural-resources-and-industry/construction-industry/building-codes-and-standards/step-code-resources/local-gov-resources/stepcodes_guidebook_v30.pdf,02_BC_Provincial/BC_Energy_and_Zero_Carbon_Step_Code_Guidebook_v3.pdf,,,"Version 3.0, June 2024. SUPERSEDED: the provincial Step Code resources page now links version 3.2. This copy is the archived edition.",Governs new construction and major renovation in the Capital Master Plan. Check against v3.2 before citing a requirement.
BC04,policy,Public,20%-Better Energy Efficiency and Zero Carbon Step Code bulletin,Province of British Columbia,British Columbia,Policy and Regulation,Other,Bulletin,2023,file,True,False,Operations,Infrastructure (Energy/Water),,False,Source fetched and confirmed,https://sustainoc.github.io/Docs3/02_BC_Provincial/BC_Zero_Carbon_Step_Code_Bulletin.pdf,https://sustainoc.github.io/Docs3/02_BC_Provincial/BC_Zero_Carbon_Step_Code_Bulletin.pdf,https://www2.gov.bc.ca/assets/gov/farming-natural-resources-and-industry/construction-industry/building-codes-and-standards/bulletins/20_better_ee__zcsc.pdf,02_BC_Provincial/BC_Zero_Carbon_Step_Code_Bulletin.pdf,,,Dated 1 May 2023. Sets out the performance and prescriptive routes to the 20%-better requirement and the Zero Carbon Step Code levels EL-1 through EL-4.,The specific compliance levels a new OC building would be designed to. Pairs with the VFA building list for retrofit target setting.
BC01,policy,Public,CleanBC Roadmap to 2030,Province of British Columbia,British Columbia,Policy and Regulation,Plans and strategies,Plan,2021,file,True,True,Operations; Planning and Administration,Carbon Zero; Policy / Planning,,False,Source fetched and confirmed,https://sustainoc.github.io/Docs3/02_BC_Provincial/BC_CleanBC_Roadmap_to_2030.pdf,https://sustainoc.github.io/Docs3/02_BC_Provincial/BC_CleanBC_Roadmap_to_2030.pdf,https://www2.gov.bc.ca/assets/gov/environment/climate-change/action/cleanbc/cleanbc_roadmap_2030.pdf,02_BC_Provincial/BC_CleanBC_Roadmap_to_2030.pdf,,,Released 25 October 2021. Sets the provincial sectoral pathways to BC's 2030 target. Still the operative provincial plan as of August 2026.,"The provincial target OC's own reduction pathway has to sit inside. Sets the sectoral ceilings for buildings, transport and industry that constrain what OC can claim."
BC02,policy,Public,CleanBC Roadmap to 2030: Local Government summary,Province of British Columbia,British Columbia,Policy and Regulation,Other,Brochure,2021,file,True,False,Planning and Administration; Engagement,Policy / Planning; Communications,,False,Source fetched and confirmed,https://sustainoc.github.io/Docs3/02_BC_Provincial/BC_CleanBC_Roadmap_Local_Government_Brochure.pdf,https://sustainoc.github.io/Docs3/02_BC_Provincial/BC_CleanBC_Roadmap_Local_Government_Brochure.pdf,https://www2.gov.bc.ca/assets/gov/environment/climate-change/action/cleanbc/cleanbc_roadmap_local_govt_brochure.pdf,02_BC_Provincial/BC_CleanBC_Roadmap_Local_Government_Brochure.pdf,,,"Two-page local-government framing of the Roadmap, including the funding and planning supports available to local bodies.",Short enough to attach to a briefing note. Useful for explaining provincial direction to a non-technical audience.
CA02,policy,Public,2025 Progress Report on the 2030 Emissions Reduction Plan,Government of Canada,Canada,Policy and Regulation,Other,Progress report,2025,file,True,False,Operations; Engagement,Carbon Zero; Performance Measurement,,False,"Source read off an official index page, file not opened",https://sustainoc.github.io/Docs3/03_Canada_Federal/CAN_2030_ERP_Progress_Report_2025.pdf,https://sustainoc.github.io/Docs3/03_Canada_Federal/CAN_2030_ERP_Progress_Report_2025.pdf,https://publications.gc.ca/collections/collection_2025/eccc/en4/En4-460-1-2025-eng.pdf,03_Canada_Federal/CAN_2030_ERP_Progress_Report_2025.pdf,,,"Catalogue En4-460/1-2025E-PDF, iv plus 243 pages, issued March 2026. Supersedes the 2023 progress report. The most recent federal progress assessment.","Shows whether the national trajectory is on track, which is the honest framing for any OC target that references federal ambition."
CA05,policy,Public,Canada's 2035 Nationally Determined Contribution,Government of Canada,Canada,Policy and Regulation,Other,NDC,2025,file,True,True,Operations; Planning and Administration,Carbon Zero; Policy / Planning,,False,Source fetched and confirmed,https://sustainoc.github.io/Docs3/03_Canada_Federal/CAN_2035_Nationally_Determined_Contribution.pdf,https://sustainoc.github.io/Docs3/03_Canada_Federal/CAN_2035_Nationally_Determined_Contribution.pdf,https://unfccc.int/sites/default/files/2025-02/Canada%27s%202035%20Nationally%20Determined%20Contribution_ENc.pdf,03_Canada_Federal/CAN_2035_Nationally_Determined_Contribution.pdf,,,"Submitted to UNFCCC 11 February 2025. Commits Canada to 45 to 50 percent below 2005 levels by 2035, roughly 381 to 419 Mt CO2e, as a step toward net zero by 2050. Canada's current NDC and a progression from the 40 to 45 percent 2030 target.","The newest federal commitment, and the top of the domestic target ladder. Use this rather than the 2030 NDC when the plan's horizon runs past 2030."
CA01,policy,Public,2030 Emissions Reduction Plan,Government of Canada,Canada,Policy and Regulation,Plans and strategies,Plan,2022,file,True,False,Operations; Planning and Administration,Carbon Zero; Policy / Planning,,False,"Source read off an official index page, file not opened",https://sustainoc.github.io/Docs3/03_Canada_Federal/CAN_2030_Emissions_Reduction_Plan_2022.pdf,https://sustainoc.github.io/Docs3/03_Canada_Federal/CAN_2030_Emissions_Reduction_Plan_2022.pdf,https://publications.gc.ca/collections/collection_2022/eccc/En4-460-2022-eng.pdf,03_Canada_Federal/CAN_2030_Emissions_Reduction_Plan_2022.pdf,,,"Environment and Climate Change Canada, March 2022. Catalogue En4-460/2022E-PDF. The federal sectoral plan underpinning the 2030 commitment.","Federal context for the target ladder. Rarely cited directly by an institution, but sets the national trajectory OC's numbers roll up into."
CA03,policy,Public,Canada's 2021 Nationally Determined Contribution,Government of Canada,Canada,Policy and Regulation,Other,NDC,2021,file,True,False,Operations; Planning and Administration,Carbon Zero; Policy / Planning,,False,Source fetched and confirmed,https://sustainoc.github.io/Docs3/03_Canada_Federal/CAN_2030_Enhanced_NDC_2021.pdf,https://sustainoc.github.io/Docs3/03_Canada_Federal/CAN_2030_Enhanced_NDC_2021.pdf,https://unfccc.int/sites/default/files/NDC/2022-06/Canada%27s%20Enhanced%20NDC%20Submission1_FINAL%20EN.pdf,03_Canada_Federal/CAN_2030_Enhanced_NDC_2021.pdf,,,Submitted to UNFCCC 12 July 2021. The 40 to 45 percent below 2005 by 2030 commitment. Superseded as Canada's latest NDC by the 2035 submission but still the operative 2030 pledge.,The internationally registered 2030 number. Use this rather than a news figure when stating Canada's commitment.
CA04,policy,Public,Canadian Net-Zero Emissions Accountability Act,Government of Canada,Canada,Policy and Regulation,Other,Statute,2021,file,True,True,Planning and Administration,Policy / Planning; Investment,,False,Source fetched and confirmed,https://sustainoc.github.io/Docs3/03_Canada_Federal/CAN_Net-Zero_Emissions_Accountability_Act.pdf,https://sustainoc.github.io/Docs3/03_Canada_Federal/CAN_Net-Zero_Emissions_Accountability_Act.pdf,https://laws-lois.justice.gc.ca/PDF/C-19.3.pdf,03_Canada_Federal/CAN_Net-Zero_Emissions_Accountability_Act.pdf,,,"S.C. 2021 c.22, assented 29 June 2021, consolidation current to 17 June 2026. The source URL always serves the newest consolidation, so this copy will drift from the live statute.",The legal architecture behind the 2050 target. Cite the statute rather than a policy document when the plan asserts a legislated obligation.
